name,location,Latitude,Longitude,OpenCage Note
The Boliqueime Inn Hotel,"Avenida Professor Dr. Anibal Cavaco Silva Nr. 32, Boliqueime 8100-077 Portugal",37.13718,-8.1582,ok
Quinta do Mel,"Apartado 6080, Olhos de Agua, Albufeira 8201-925 Portugal",37.0984007,-8.2087159,ok
Dixo's Oporto Hostel,"Rua de Mouzinho da Silveira 72, Porto 4050-415 Portugal",41.1421168,-8.6143004,ok
Charming Antas House,"Rua de Naulila 98 122, Porto 4200-412 Portugal",41.1653795,-8.5898617,ok
Convento da ProvenÃ§a,"Monte Paleiros Ribeira De Nisa, Portalegre 7300 Portugal",39.3286406,-7.4290578,ok
Lisbon Happy Hostel,"Rua dos Correeiros n. 161, Lisbon 1100-164 Portugal",38.7114312,-9.1375437,ok
"Borralha Hotel, Restaurante & Spa","Travessa Moreira de Carvalho No. 2, Vila Real 5000-423 Portugal",41.3135423,-7.7342741,ok
Pestana Vila Lido,"Rua Gorgulho 15-17, Funchal, Madeira 9000-107 Portugal",32.6364509,-16.9308291,ok
Casazul,"Alagoachos Lote 299 Lote 299, Vila Nova de Milfontes 7645-012 Portugal",37.72377,-8.78278,ok
Chicks On Waves,"Quinta da Fortaleza 40, Budens 8650-041 Portugal",37.0667,-8.8,ok
Casas do Porto - Ribeira Apartments,"Rua Ferreira Borges, Porto 4050-253 Portugal",41.1412108,-8.6153104,ok
HolaCamp Albufeira,"Estr. De Ferreiras N395, Albufeira 8200-555 Portugal",37.1237609,-8.2448066,ok
Estalagem Da Ponta Do Sol,"Caminho Do Passo, 6, Ponta Do Sol, Madeira 9360-529 Portugal",32.6791826,-17.1032864,ok
Palacio Vila Flor,"Travessa Sao Joao da Praca 36, Lisbon 1100-523 Portugal",38.7167,-9.1333,ok
Horta de Torrejais,"Estrada da Barca 7860, Moura 7860-307 Portugal",38.0357,-7.8036,ok
Hotel Casa do Tua,"Avenida da Estacao 05, Foz Tua 5140-133 Portugal",41.4512536,-8.5531137,ok
Hotel Cristal Porto,"Travessa Antero de Quental 360, Porto 4000-087 Portugal",41.1149134,-8.5087461,ok
Pure Fonte Velha Bed and Breakfast,"Rua 25 de Abril 13, Vila do Bispo 8650-428 Portugal",37.0820294,-8.9093681,ok
Sol da Vila,"Rua CustÃ³dio BrÃ¡s Pacheco 4, Vila Nova de Milfontes 7645-253 Portugal",37.72377,-8.78278,ok
PortoBay Serra Golf,"Sitio dos Casais Proximos, Santo Antonio da Serra, Madeira 9100-255 Portugal",32.71667,-16.81667,ok
Hotel Madeira,"Rua Ivens 21, Funchal, Madeira 9000-046 Portugal",32.6480202,-16.9125233,ok
Encostas do Coa TER,"Quinta Nova Pinhel Rua nova, Quinta Nova 6400-552 Portugal",40.7396,-7.15,ok
Herdade Da Matinha,"Cercal do Alentejo, Cercal 7555-231 Portugal",37.7833,-8.6417,ok
Casa Areias Apartamentos,"Beco do Barnabe 457, Albufeira 8200-287 Portugal",37.0833,-8.25,ok
Quinta Mirabela,"Caminho do Monte 105-107, Funchal, Madeira 9000-288 Portugal",32.6795441,-16.9013869,ok
Vila Gale Collection Braga,"Largo Carlos Amarante, Braga 4700-308 Portugal",41.5494214,-8.4234692,ok
Mayer Apartments,"Rua da Varzea, Luz 8600-157 Portugal",37.0891771,-8.7271383,ok
Artbeat Rooms,"Rua de Sao Nicolau 23 3rd E, Lisbon 1100-547 Portugal",38.7105021,-9.1364571,ok
Vila Gale Porto Ribeira,"Cais das Pedras 22 Lordelo do Ouro e Massarelos, Porto 4050-499 Portugal",41.1451751,-8.6292999,ok
Tivoli Carvoeiro Algarve Resort,"Apartado 1299 Vale Do Covo, Carvoeiro 8401-911 Portugal",37.094179,-8.4572833,ok
Hotel Covilha Dona Maria Affiliated by MeliÃ¡,"Alameda Pero da Covilha, Covilha 6200-507 Portugal",40.2686777,-7.4854108,ok
Villa Natura - Ecoturismo,"Caminho Velho da Praia, 14, Vila do Porto, Santa Maria 9580-030 Portugal",41.04342,-8.26822,ok
Candeias do Souto,"Largo da Capela, Braganca 5300-673 Portugal",41.5564853,-7.1830256,ok
Cabanas da Viscondessa,"Caminho de Cima da Ribeira do Nabo, Urzelina, Sao Jorge 9800-404 Portugal",41.38242,-8.24887,ok
Legends' House by Sweet Porto,"Rua do Bonjardim 115, Porto 4000-124 Portugal",41.1474092,-8.609488,ok
PÃ¡tio Da Villa Coruche Guest House,"Rua do Borralho 1, Coruche 2100-168 Portugal",38.9570571,-8.5284958,ok
Residencial Londrina,"Rua Castilho 61, Lisbon 1250-068 Portugal",38.723823,-9.1526753,ok
White Exclusive Suites & Villas,"Rua Rocha Quebrada 10 - Atalhada, Lagoa 9560-420 Portugal",37.13535,-8.45319,ok
Turim Marques Hotel,"Rua Mouzinho da Silveira 26, Lisbon 1250-167 Portugal",38.7230262,-9.1503818,ok
Hotel Alegria,"PraÃ§a da Alegria, 12, Lisbon 1250-004 Portugal",38.7167,-9.1333,ok
Casa de Sezim,"Rua de Sezim, Guimaraes 4811-909 Portugal",41.4163761,-8.3281488,ok
SÃ£o LourenÃ§o do Barrocal,Monsaraz 7200-177 Portugal,38.4633204,-7.417323,ok
Casa do Cabeco,"Casa do CabeÃ§o, Rua da Portela 30 Falorca, CastelÃµes, Tondela 3465-127 Portugal",40.51682,-8.08087,ok
Quinta do Morgado - Monte da Eira Apartments,"Quinta do Morgado Estrada Nacional 125, Tavira 8800-209 Portugal",37.1667,-8.2667,ok
