name,location,Latitude,Longitude,OpenCage Note
Topcity Hostel & Suites,"Rua Mendonca Pessanha 27, Lagos 8600-607 Portugal",37.1003919,-8.6724946,ok
Lindo Vale Guest House,"Rua do Lindo Vale 460, Porto 4200-370 Portugal",41.1649508,-8.6007304,ok
Hotel Dom Luis,"Avenida de Badajoz, Elvas 7350-903 Portugal",38.8754836,-7.176446,ok
Romantik Villa,"Urbanizacao Beach Villas Lote M5, Salema 8650-191 Portugal",37.0667,-8.7667,ok
RIBEIRA by YoursPorto,"Rua Reboleira 19 A 2-min walk from the Church of SÃ£o Francisco, Porto 4050-492 Portugal",41.14961,-8.61099,ok
Hotel Comercio,"Avenida Doutor Correia Pinto, Resende 4660-013 Portugal",41.1,-8.0167,ok
Luz Ocean Club Apartments,"R. Dr. Francisco Gentil Martins, Lote 57 Luz, Luz 8600-164 Portugal",37.09216,-7.70433,ok
SoulSurfcamp,"Avenida do Mar 180, Ferrel, Peniche 2520-101 Portugal",39.3715414,-9.3323034,ok
Porto PalÃ¡cio Hotel by The Editory,"Avenida da Boavista 1269, Porto 4100-130 Portugal",41.1590333,-8.6386736,ok
Natura Algarve Club,"Rua FernÃ£o Lopes Lote 2, Albufeira 8200-279 Portugal",37.0833,-8.25,ok
Upon Vila - Alcochete Hotel,"Av. Dom Manuel I 465, Alcochete 2890-014 Portugal",38.7491929,-8.9686107,ok
RIA CENTRUM,"Rua de LuÃ­s Cipriano 2, Aveiro 3810-128 Portugal",40.6333,-8.65,ok
Hotel Apartamentos Geres Ribeiro,"Avenida Manoel Francisco Da Costa, Vilar da Veiga 4845-067 Portugal",41.675,-8.2417,ok
Rossio Hotel,"Rua 31 de Janeiro n 6, Portalegre 7300-211 Portugal",39.2167,-7.4067,ok
Casa da Aldeia,"Calcada da Aldeia 16, Sever do Vouga 3740-235 Portugal",40.7319399,-8.3681496,ok
Estalagem de MarvÃ£o - Casa de Campo,"Rua do Espirito Santo 1, Marvao 7330-117 Portugal",39.3942095,-7.376556,ok
Quinta das Achadas,"Estrada da Barragem, Odiaxere, Lagos 8600-250 Portugal",37.1667,-8.4,ok
Mamaadama Alpaca Farm And B&b,"Font Fria Mosqueiroes, Grandola 7570-336 Portugal",38.0033,-8.6033,ok
Vila GalÃ© Tavira,"Rua 4 de Outubro, Tavira 8800-362 Portugal",37.1234114,-7.6460201,ok
PeraLux,"Largo 1Âº de Maio, Pera 8365-204 Portugal",37.1667,-8.2667,ok
Bura Surfhouse,"Rua da Pedra Alcada, Lagos 8600-546 Portugal",37.0957445,-8.6989348,ok
Cardeal Suites & Apartments,"Rua Doutor Coelho de Melo nÂº 1, Faro 8000-323 Portugal",37.1307,-8.0632,ok
The Maverick Surf & Guest House,"Rua da Fonte 15 A Toxofal de Cima, Lourinha 2530-318 Portugal",39.1785461,-9.3182455,ok
Canto de Luz,"Rua do Almada 539, Porto 4050-039 Portugal",41.1465814,-8.6121975,ok
Memmo Principe Real,"Rua Dom Pedro V 56 J, Lisbon 1250-094 Portugal",38.7156554,-9.1459024,ok
Casa Morais,"Rua da Capela Fornos, Coimbra 3025-149 Portugal",40.278,-8.3553,ok
Mareta Beach House Boutique Residence,"Rua da Mareta, Sagres 8650-356 Portugal",37.0104701,-8.9364594,ok
Hotel Travel Park Lisboa,"Avenida Almirante Reis 64, Lisbon 1150-020 Portugal",38.7271376,-9.1345937,ok
Hotel do Parque,"Bom Jesus Do Monte, Braga 4715-297 Portugal",41.55,-8.4333,ok
Perola da Lagoa,"Travessa do Remo, Obidos Portugal",39.4078428,-9.221085,ok
Luna Hotel Da Oura,"Rua Dunfermline Areias de Sao Joao, Albufeira 8200-278 Portugal",37.0922048,-8.2330215,ok
Volcanic Charming House,"Rua de Nossa Senhora do Vencimento 76, Ribeira Grande, SÃ£o Miguel 9600-570 Portugal",,,ok
Camping Asseiceira,"Caixa Postal 2 MarvÃ£o, Santo Antonio Das Areias, Marvao 7330-204 Portugal",39.41628,-7.34947,ok
Crowne Plaza Porto By IHG,"Avenida Da Boavista, Porto 4100-114 Portugal",41.159757,-8.6398926,ok
Quinta Da Roda: Natureza E Bem-estar,"Lugar Da Roda, Vila Verde 4730-614 Portugal",41.7042,-8.3583,ok
Hotel da Barrosinha,"Companhia Agricola da Barrosinha, Alcacer do Sal 7580-514 Portugal",38.3616729,-8.481448,ok
Eurostars Lisboa Baixa,"Rua da Prata 88-114, Lisbon 1050-202 Portugal",38.7115645,-9.137154,ok
Zero Box Lodge Coimbra,"Avenida Emidio Navarro 45, Coimbra 3000-150 Portugal",40.2063398,-8.4281093,ok
