name,location
The Boliqueime Inn Hotel,"Avenida Professor Dr. Anibal Cavaco Silva Nr. 32, Boliqueime 8100-077 Portugal"
Quinta do Mel,"Apartado 6080, Olhos de Agua, Albufeira 8201-925 Portugal"
Dixo's Oporto Hostel,"Rua de Mouzinho da Silveira 72, Porto 4050-415 Portugal"
Charming Antas House,"Rua de Naulila 98 122, Porto 4200-412 Portugal"
Convento da ProvenÃ§a,"Monte Paleiros Ribeira De Nisa, Portalegre 7300 Portugal"
Lisbon Happy Hostel,"Rua dos Correeiros n. 161, Lisbon 1100-164 Portugal"
"Borralha Hotel, Restaurante & Spa","Travessa Moreira de Carvalho No. 2, Vila Real 5000-423 Portugal"
Pestana Vila Lido,"Rua Gorgulho 15-17, Funchal, Madeira 9000-107 Portugal"
Casazul,"Alagoachos Lote 299 Lote 299, Vila Nova de Milfontes 7645-012 Portugal"
Chicks On Waves,"Quinta da Fortaleza 40, Budens 8650-041 Portugal"
Casas do Porto - Ribeira Apartments,"Rua Ferreira Borges, Porto 4050-253 Portugal"
HolaCamp Albufeira,"Estr. De Ferreiras N395, Albufeira 8200-555 Portugal"
Estalagem Da Ponta Do Sol,"Caminho Do Passo, 6, Ponta Do Sol, Madeira 9360-529 Portugal"
Palacio Vila Flor,"Travessa Sao Joao da Praca 36, Lisbon 1100-523 Portugal"
Horta de Torrejais,"Estrada da Barca 7860, Moura 7860-307 Portugal"
Hotel Casa do Tua,"Avenida da Estacao 05, Foz Tua 5140-133 Portugal"
Hotel Cristal Porto,"Travessa Antero de Quental 360, Porto 4000-087 Portugal"
Pure Fonte Velha Bed and Breakfast,"Rua 25 de Abril 13, Vila do Bispo 8650-428 Portugal"
Sol da Vila,"Rua CustÃ³dio BrÃ¡s Pacheco 4, Vila Nova de Milfontes 7645-253 Portugal"
PortoBay Serra Golf,"Sitio dos Casais Proximos, Santo Antonio da Serra, Madeira 9100-255 Portugal"
Hotel Madeira,"Rua Ivens 21, Funchal, Madeira 9000-046 Portugal"
Encostas do Coa TER,"Quinta Nova Pinhel Rua nova, Quinta Nova 6400-552 Portugal"
Herdade Da Matinha,"Cercal do Alentejo, Cercal 7555-231 Portugal"
Casa Areias Apartamentos,"Beco do Barnabe 457, Albufeira 8200-287 Portugal"
Quinta Mirabela,"Caminho do Monte 105-107, Funchal, Madeira 9000-288 Portugal"
