hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Belmar Spa & Beach Resort,AbbeSteele,7,AbbeSteelewrote a review Mar 2012,"My partner and I have just come back from a week at the Belmar and it was gorgeous. Being out of season it was very quiet, we counted 6 couples during our entire stay but this meant it was like having the whole place to yourself! The apartments are fantastic, a beautiful high standard. The spa is great with a large gym and very impressive indoor pool which could be compared to the nicest spas I've ever been too! I can't say enough how lovely Sarah was who looks after the tratments, she takes her time and her advice was very helpful. We tried the restaurants on the beach which are less than a 5 minute walk away, and would recommend campamar for sure.. There isn't much else around so a taxi costs 5 euros into Lagos, again Lagos hasn't got that much going on but it's nice for a potter. If u had a car there are so many close places by. You'll be spoilt for choice. We can't wait to go again.",Mar,2012,Mar 2012,2012-03-01,2012,5
Villas Barrocal,Salisbury2010,2,Salisbury2010wrote a review Oct 2012,"Like many others I was a bit sceptical given the good price of this accommodation but the apartments were very spacious, clean and quiet. There's a nice pool area and the staff are very friendly.The cleaners came around several times during our week's stay and left the place spotless. There's lots of kitchen utensils too and it's very handy to have a microwave etc in the apartment.The only downside for us was the location. There isn't a huge amount to do in the village and it's a bit of a trek to get to the beach or the nearest town. We hired a car which solved this problem and I'd definitely recommend that anyone planning to stay there hires one (there's plenty of parking on site).",Oct,2012,Oct 2012,2012-10-01,2012,4
Saccharum,ChrisandSaraUK,57,ChrisandSaraUKwrote a review Oct 2016,What an amazing hotel - architecturally brilliant! The views from the roof (infinity pool and bar) are sensational. We loved the way the building is so in keeping with the previous industrial uses of the site.  Calheta is a lovely seaside village and a great base to explore Madeira.  The island itself is beautiful.  The only blemish - the food at lunchtime in the pool bar was incredible but the evening restaurants were less than 5 star. Plenty of nice places to eat in Calheta however including the Calheta Beach sister hotel where the a la cartel restaurant is great.  A special thank you to Jose Pereira who was a great help planning our trips around the island - you're a star! A could do better to the lady on reception who struggled  to smile or help us get the room we booked - got there in the end!,Oct,2016,Oct 2016,2016-10-01,2016,4
Jupiter Albufeira Hotel - Family & Fun,jeljia09899,0,jeljia09899wrote a review Apr 2022,"Great accommodation, food and staff service! The room was kept clean. The staff were all friendly and helpful. The variety of food was superb.  We had a wonderful stay at this hotel and will definitely recommend it our friends.",Apr,2022,Apr 2022,2022-04-01,2022,5
Hotel Madeira,mkrn82,8,mkrn82wrote a review Aug 2011,"We stayed in the Hotel Madeira for a week at the end of August. The location of the hotel is it's main asset, it is nearly in the city centre and is only ten minutes walk from the old town, where there is a large choice of restaurants, some which are great value!The hotel doesn't have some of the facilities that a new resort style hotel may have, but it would seem a waste of a trip to be somewhere as stunning as Madeira and spend too much time in your hotel! Having said this, there is a roof terrace with a small pool that is nice to relax in! There are great views of the surrounding hills of Funchal and a bit of a see view, which I guess would have been stunning sea views before some more recent developments!The bar down stairs sells bottles of beer for 1 euro and some fairly priced snack meals! The room we were in was on the front corner had a good view of the hills and over looked the municipal gardens! It was spacious, clean, with clean towels and bedding everyday, and free Air con. The only down side was that we had no fridge, that would have been useful.The breakfast was quite basic, but not too bad, cheese, ham, rolls, boiled or scrambled eggs and cereal and fruit!The hotel staff were friendly and helpful, always willing to give advice with locations and directions.A must is a sight seeing tour with Strawberry World. They are based in the Monumental Lido area of Funchal, a 5 min bus journey on Line 1 from the see front. We did the South and East tour, which travelled trough stunning scenery with commentary giving a great insight into the island, from the guide who was great!",Aug,2011,Aug 2011,2011-08-01,2011,4
Macarico Beach Hotel,Helena N,3,Helena Nwrote a review Apr 2018,We were a  bit disappointed with the outside (because of all the construction)but as soon as we  entered the  hotel we were  greeted by some tasteful decoration   and an amazing clerck.  Mr Ângelo went above and beyond the call of his duty and even poured us some tea on  the common room while we played a game of chess.The room was simple but equipped with the basic amenities.We changed and headed straight for the spa floor where you can find the sauna and turkish Bath. You can regulate the temperature of all  equipments  to your own liking.  On the top floor you have the swimming pool and jacuzzi (also check the temperature on the dashboard).The breakfast is also fantastic so in overhall the hotel is well worth the visit.,Apr,2018,Apr 2018,2018-04-01,2018,4
Tivoli Carvoeiro Algarve Resort,Carlos C,0,Carlos Cwrote a review Aug 2025,"Excellent table service by the mafalfa, who suggested our whole sushi dinner, with the spectacular complement of chef João Capelo in the quality and presentation of the dishes.",Aug,2025,Aug 2025,2025-08-01,2025,5
Vila Gale Nep Kids,247anaisa,0,247anaisawrote a review Nov 2024,"Great animation team my daughter loved all the monitor all the uncle Zeca, Bibi, Ariel, bolinha, Joana banana, from the part of the restaurant Mr Hugo and from an extreme sympathy thank you very much to all. 2 days very good rest the tractor ride very turning also thank you",Nov,2024,Nov 2024,2024-11-01,2024,5
Valverde Lisboa Hotel & Garden - Relais & Châteaux,steve,0,stevewrote a review Apr 2023,Never been to Lisbon so we had no idea we’re to stay so many Hotels to choose from but I think we made the perfect choice it felt like being Home safe environment friendly staff made our 5 days in Lisbon a Grand experience close to Restaurants Shopping away from the busy tourist areas.,Apr,2023,Apr 2023,2023-04-01,2023,5
Hotel Cristal Porto,BAULARD E,0,BAULARD Ewrote a review Mar 2025,Great hotel room of very good quality. Cleaning is done every day and nothing wrongThe restaurant has a very good kitchenThe staff is welcoming kind smiling and caring for these guestsWe recommend you will not be disappointed,Mar,2025,Mar 2025,2025-03-01,2025,5
