hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Villas Barrocal,Inspire36323896375,0,Inspire36323896375wrote a review Aug 2025,Good location. Friendly and welcoming place.Negatives: Lounge seats booked by guests early in the morning.,Aug,2025,Aug 2025,2025-08-01,2025,4
Belmar Spa & Beach Resort,hdempsey,369,hdempseywrote a review Apr 2025,"I enjoy visiting a spa while on vacation and this one wasn't too far from where I was staying. Simply put my treatment (volcano scrub) is one of the best I've ever had. I'm only sad we don't live nearby!After the treatment we stayed for lunch at the hotel's restaurant. Lovely view while we were there, and the food was great.",Apr,2025,Apr 2025,2025-04-01,2025,5
Montebelo Viseu Congress Hotel & Spa,Leonel L,1,Leonel Lwrote a review Feb 2018,"I have been several times in Viseu in another Hotel of this Group. This time I wanted to try the 5* of the Group, and I was quite disappointed.The room honestly did not give me the 5 * comfort (compared to other hotels in this category.) Towels looked rather worn, no longer \"fluffy.\" The spare bed was rather fragile, but for a 6 year old it was still enough.At breakfast the regular cafe only is \"sack cafe\", the breakfast buffet in my opinion quite weak. When the orange juice ran out, the same was not attested, hot water for the tea was only lukewarm. Just like the scrambled eggs and the bottle sausage.Conclusion, Price / quality is not in accordance. Price yes 5 *, but the quality at most 4 *.By sure I will not make this \"experience\" again.",Feb,2018,Feb 2018,2018-02-01,2018,2
Herdade Da Matinha,Cosmopolitan820303,0,Cosmopolitan820303wrote a review Aug 2020,"Located on a beautiful place, all the zones of the hotel are really nice and the ambient is very calm and chill - perfect for some days of relax. The restaurant is incredible with a great wine selection too. We really loved it! It's only a bit hard to arrive but actually once you get how to go there makes the place feel even better.",Aug,2020,Aug 2020,2020-08-01,2020,5
Belmar Spa & Beach Resort,GuilhermeVaz,206,GuilhermeVazwrote a review Sep 2012,"Good location and views. 2min walking from the beach Porto de Mos and 5min driving to center of Lagos. A kind of small resort with few extra things. Boring for kids (mine is 3) though. Price quality a little bit exagerated, and that is maybe why there were no Portuguese guests? Overall good.",Sep,2012,Sep 2012,2012-09-01,2012,3
Mayer Apartments,Peter K,4,Peter Kwrote a review Feb 2018,"Found these wonderful apartments over 30 years ago. Have been back 15 times since. Children always insisted we returned. Poll fantastic, apartments well furnished and large,balcony spacious and with great views. Very well run.",Feb,2018,Feb 2018,2018-02-01,2018,5
Jupiter Albufeira Hotel - Family & Fun,Mark Dearman,0,Mark Dearmanwrote a review Aug 2023,"Positives:Check in was quick and easy and our cases were taken to our room which was a nice touch.The hotel is big and has a great multi sports area and the slides are also good.The staff are friendly and responsive.The rooms are big, tidy, clean and quiet during the night times (built well and no room noises coming through).The pool bar was great.The food buffet was small but actually the quality was better than expected.Drinks selection was also pretty good.The guests - this is a family oriented hotel and all the guests were respectful of that - no bad behaviour.The negatives:Main one is location. It’s a good 20 min walk to the beach or the old town.The nightclub strip which is 5 mins way is an eye sore - great if you are here to party but not so great if you are here with family. I was up running at 6:30am every day and there were still people staggering around the strip drinking and rubbish and the smell of pi@@ everywhere.The gym doesn’t have anywhere near enough equipment for a hotel of this size and only has 1 working running machine (although I told reception on the first day that one machine was broken - still not fixed 6 days later)Entertainment for teenagers was a little sparse in the evening. Only a small outside area for a singer and the indoor bar felt more like a waiting room. Needs a bit more mood lighting and music.The in-house paid for restaurants are not good enough to warrant spending additional money. They should ditch them and use those areas for something else.The pool is cold and uncomfortable even when the sun is bearing down on you.There isn’t enough umbrellas for the sun beds and although there is plenty of space, you have the same people abusing the towel reserves everyday - putting towels down and disappearing down the beach until 4pm - totally out of order and the hotel should police it and have signs up to warn that towels will be taken after say 2hrs. All Sun loungers were reserved by 9am. I was up 6:30am running everyday and towels had already been put down around the pool at that time. So be prepared.Conclusion:I wouldn’t return - the area isn’t for me. The Hotel ticks lots of boxes and would be great for younger families. Those with teenagers may find it a little limiting.They say it’s a 5 Star Plus - well it’s not. I stay in 6 Star Hotels in Dubai all the time and it makes hotel seems like a 2/3 Star. In context of other Spanish hotels of similar standard, I would say this is a lower 4 Star Hotel.",Aug,2023,Aug 2023,2023-08-01,2023,3
Jupiter Albufeira Hotel - Family & Fun,GaryJadeAmelia1,0,GaryJadeAmelia1wrote a review Sep 2022,"Had a great time, we were sad to be leaving 😔. Looking forward to coming back.Loved all the entertainment and things to do in and around the hotel. A short walk down to the strip was also an eye opener and plenty to do for all ages.",Sep,2022,Sep 2022,2022-09-01,2022,5
Holiday Inn Express Lisbon - Oeiras By IHG,cathleenw920,44,cathleenw920wrote a review Jun 2014,"We have stayed at this hotel a couple of times, but have always noticed that desk staff are not the least bit interested in their customers.  Most now speak English which is good.Morning breakfast seemed to be less than prior visits.The biggest downside of this hotel is that their are not any decent restaurants around . You have to drive out to the Plaza to get a restaurant, or get on the highway to go to one of the nearest towns.",Jun,2014,Jun 2014,2014-06-01,2014,3
Grand Muthu Forte Do Vale,Nicola S,12,Nicola Swrote a review Nov 2015,"Hotel is absolutely fantastic. After reading previous reviews regarding food, these people obviously wouldn't know a whatnot food was as the food here is fantastic. There is something for everyone. We are all inclusive and came with the idea of eating out a few night, yet we leave tomorrow and are yet to eat anywhere else. The staff have been wonderful and so helpful. The apartments are fantastic, and well equipped. The bar and restaurant staff have been great and are fantastic with our kids. We will definitely be back here again and would recommend to anyone looking for a 5* break!!!",Nov,2015,Nov 2015,2015-11-01,2015,5
Grand Muthu Forte Do Vale,Flyer60038174453,1,Flyer60038174453wrote a review Aug 2023,"A very special note for Patrick, without a doubt the best Bartender of all, always very friendly, with a smile on his face, speaking Portuguese, and always available to help.Patrick was a huge help in providing the best vacation possible for me and my family.His friendliness is priceless, thank you very much for all your service.",Aug,2023,Aug 2023,2023-08-01,2023,5
Charming Antas House,Laura Olin,130,Laura Olinwrote a review Jun 2022,"Why would you want to stay outside the city centre if you are coming to see Porto? That was my thought when I realized this hotel is in Antas. But the hotel made up for it! The spaces were carefully decorated and all details in the rooms were top class: the linen, the towels and so on. Manuela and Joao were amazing hosts who made heartly breakfasts. The last night when we needed a little snack, we got a full serving of local specialities in the garden. And yes, the Uber trips to the centre were super easy and cost between 5-10 euros for theee persons. Warm recommendations for Antas House!",Jun,2022,Jun 2022,2022-06-01,2022,5
