hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Belmar Spa & Beach Resort,nexus153,19,nexus153wrote a review Aug 2021,Bel mar is very nice looking hotel. It’s has nice outdoor and indoor pools.  The apartments are modern. Although we got one in a garage up a little stair. The hotel is about a 4 min walk to a very nice beach. And about a 5 min drive to incredible cliffs you can get a boat to tour you around. A must do. The town about 10 min drive is interesting and kind of funky. Plenty of tourists partying.But I have to leave a poor review because the attitude of the people at the desks are downright rude. It’s bizarre in this kind country. Maybe they think it’s so nice that they can be rude. But the service is quite bad and openly rude.Someone needs to fire all the staff and hire people who know how to be friendly.I would recommend somewhere else just for this reason.,Aug,2021,Aug 2021,2021-08-01,2021,3
Belmar Spa & Beach Resort,Nata963,7,Nata963wrote a review Oct 2013,"We stayed for 4 nights on october (end of season). Hotel is really great : large modern apartments with kitchen, living room and spacey bedroom, private balcony with view at the ocean, pools, sauna, friendly english speaking staff and beach is two minutes walk away (there are two beach restaurants)... I recommend it to anyone who comes to visit portugal by car and wants unforgettable holiday !",Oct,2013,Oct 2013,2013-10-01,2013,5
Vila Gale Porto Ribeira,carposmrs,116,carposmrswrote a review Dec 2019,"My husband and I love Vila Gale hotels and we recommend them all the time, unfortunately we won't be able to recommend this hotel.The hotel is situated on the banks of the Douro river (a beautiful spot) about 15 to twenty minutes walk along the river from the Riberia district.That's great if you want to eat or cross the river, but if you want to visit the town , the Cathedral or the train station if you have to hike up all the hills Porto has to offer. From the train station (which is a must see) it's an hour round trip walking.A tram runs in front of the hotel or you can get the bus but they run on a limited schedule and to be fair it's still going to take you half an hour to get to the town.One of my pet hates is no tea and coffee in the rooms. There are no coffee shops near the hotel ( there are some bars and restaurants) so in my opinion there should be tea and coffee facilities in the rooms.There is some beautiful artwork in the rooms. Our room was called the Michelangelo room, it was small, well decorated however when I opened the curtains we were about 10 feet away from the next building and basically if anyone had been working in the building next door over the weekend it would have been as if they were in our room, that's how close it was!There is no actual seperate bathroom,  the toilet is in a cubicle which doesn't have a solid door so there is very little privacy. The shower which is large and luxurious is opposite the toilet cubicle. Very strange set up.The hotel is clean and well presented. However, as it's very small the check in area is in the middle of the dining/breakfast room.The location of this hotel really didn't suit us. We were only in Porto for a 3 day city break and  (even with the public transport available ) we had to trek every time we wanted to go anywhere.We will definitely stay in Vila Gale hotels again but definitely not in this one.",Dec,2019,Dec 2019,2019-12-01,2019,2
Jupiter Albufeira Hotel - Family & Fun,nikkicotter,0,nikkicotterwrote a review Aug 2022,"Wow what an amazing hotel, our children had the most amazing experience.Friendly service from all staff.Would definitely return.Negative queues for evening meal over 30 minutes wait however it’s peak season.",Aug,2022,Aug 2022,2022-08-01,2022,5
Villas Barrocal,Arturas S,0,Arturas Swrote a review Oct 2023,"Everything was just really nice. All clean and tidy, and with everything you need. Fully equipped kitchen, so you can cook if you want, but there is a lot of local coffee shops and restaurants around. If I decide to visit Portugal again,so I definitely will stay here. Giving 5 star.",Oct,2023,Oct 2023,2023-10-01,2023,5
Belmar Spa & Beach Resort,Ginacarden,5,Ginacardenwrote a review Oct 2024,"Such good value for money! The food was great, amazing cocktails, friendly and attentive staff! Great location, close to a lovely beach as well as a short taxi in to the centre and great services on offer at the hotel too! We couldn’t have asked for more!",Oct,2024,Oct 2024,2024-10-01,2024,5
Jupiter Albufeira Hotel - Family & Fun,TravellingScarborian,81,TravellingScarborianwrote a review Oct 2023,"We booked this hotel for 7 nights for 2 adults and one 3 year old. Upon arrival we arrived around 1pm but wasn’t able to check in until 3pm so had to wait around and store luggage. Never had a warm feel and welcome to the hotel, just seemed “another number”. Large reception area to sit and wait for buses, taxis etc. they do a free transfer bus to the local town but it is always full and we had to end up paying for a taxi most of the time due to it been full- they should be more frequent transfers due to size of hotel. They were always off on their timings, would leave before the official pick up time.We felt the rooms were average, no baths, sheets always stained, didn’t clean the room twice, uncomfy beds, two singles pushed together. You can hear the lifts in your room beeping which is annoying. Put us on 10th floor next to rooftop bar with a 3 year old so could hear everyone leaving. Couldn’t go onto the balcony as it was dangerous to be up there with a 3 year old. She had to sleep on a sofa bed rather than a normal bed.No iron in rooms, had to request one.The pools were ok, just couldn’t understand why the children’s slide/water area was cold and the other small children’s pool was heated with the big pool also been cold. Sun loungers get taken fast so you tend to miss out if you’re not fast. Long queues around the pool bar, understaffed.We thought the entertainment was pretty poor, in a tent which fills up very fast meaning you have to stand if you’re not quick. Music far too loud for younger children. Had trampoline and bouncy castle, you have to pay and by card only!We used the spa for happy hour 6:30-7:30 for sauna, jacuzzi and steam but they allowed children in which we didn’t understand. We went in to relax but there were many children playing in there.Gym looked good although we didn’t use it.We took our little girl to the children’s group, staff friendly and she enjoyed it.The restaurant was a joke. Had to queue outside when it was busy, not big enough for the hotel, didn’t feel staff friendly in there. Buffet style food, always luke warm, tasteless and dry food. The buffet is tiny compared to the restaurant and hotel numbers- always queues for food. The desserts and fruit area was bigger than the food area!  There was a children’s area which was ok if they like dry fish fingers and cardboard like nuggets.Coffee machine was always dodgy. One toasting machine for the whole hotel.We were given 2 vouchers for 2 extra restaurants which were very good. Food much better quality and friendlier staff. One a rodizio, all you can eat meat and the other a normal restaurant where you get 3 course meal.We tried getting a drink at 11:30 and tried to charge us! Although bars don’t stop until 12pm.Plenty of good things to do in the area, new town, old town, villamoura, beaches, zoomarina - although we thought was poor for the price.Overall, it was an ok hotel would probably score it top end of 3 star low end of 4.Would recommend without all inclusive but all inclusive I think you can get better for your money.",Oct,2023,Oct 2023,2023-10-01,2023,2
Saccharum,Bluefoxx672014,70,Bluefoxx672014wrote a review Feb 2017,"We booked this hotel as a honeymoon celebration which was unfortunately delayed due to my operation last year. We had got what we thought was already a great deal for a double courtyard room, but ...... Wow!! ......on arrival, we found that they had not only upgraded us to a truly amazing junior suite, with a sea view, but had thrown fresh rose petals all over the bed! It gets better as, when we returned to our suite, after taking a look around this spectacular hotel, we found a bottle of champagne on ice and chocolates on our pillow!! We were later invited to have a tour of the Kitchens with the hotel manager, where we were given samples of biscuits and Madeira wine! The kitchens were immaculate ( & my husband should know as he was a head chef in a previous life!) & we ended our first day with a superb meal in their a la carte restaurant. As if we hadn't been spoiled enough already, we came back to our suite to discover full turn down service, complete with a coconut macaroon!!! We have never experienced this level of luxury and after a rainy arrival, it is now a beautiful sunny day, so we couldn't be happier 😎",Feb,2017,Feb 2017,2017-02-01,2017,4
Tivoli Carvoeiro Algarve Resort,Susanna S,29,Susanna Swrote a review Feb 2025,"We stayed at Tivoli Carvoeiro several times in 2024, the last being in December.  Check-in is always very friendly and staff are very helpful.  Our room was very comfortable on all visits.  Probably a little tired in places but overall very good.  The highlight of the hotel is the breakfast buffet and if seated by the window or outside balcony area you have a wonderful view of the sea.  The rooftop bar is wow factor and we have enjoyed many evenings there with lovely drinks and snacks.  The outside pool area and actual pool were a bit tired when there in the summer but we could see renovation work on them in December.The hotel is based a nice walk away from Carvoeiro and some lovely restaurants in this area too.All in all, lovely friendly hotel with wow factor views.",Feb,2025,Feb 2025,2025-02-01,2025,4
Lisbon Destination Hostel,KCostaE,0,KCostaEwrote a review Sep 2019,"After arriving to Lisbon from Porto, Portugal, I was somewhat disappointed in my inability to meet new people in hostels as a solo-traveler. I met  two cool people from England and Holland however. Reaching Lisbon Destination Hostel changed everything. The excursions the hostel does daily allowed me too meet and go out with a dozen people from the hostel throughout my stay. The excursions were easy to join, and the  kitchen and common-area were very easy to use, and had a nice friendly vibe to them. Best hostel I stood at in Portugal.",Sep,2019,Sep 2019,2019-09-01,2019,4
Casas do Porto - Ribeira Apartments,Yolanda C,9,Yolanda Cwrote a review Jan 2018,"Christmas isn't the best time to travel to Portugal as most restaurants and wineries are closed for the holidays but Rui, Olivia and Barbara did their best to make sure we enjoyed this city.Casas do Porto is conveniently located near fabulous restaurants and a few blocks away from Intercontinental.  Our little apartment was clean and comfortable.   We were in Porto for 4 nights with our two kids (13 and 7) who loved sharing a single bathroom with us.   Fresh breads were delivered to our apartment daily which was a nice touch.We loved the tours Rui recommended ... particularly the walking food tour!     Rui and Olivia also started a touring company Experience D'ouro which provided exclusive tours, transfers and tours/ tastings at the different vineyards.   Must say our trip was perfectly planned so we didn't have to do all that research and organization.  Very happy!",Jan,2018,Jan 2018,2018-01-01,2018,4
Valverde Lisboa Hotel & Garden - Relais & Châteaux,alinameches,1,alinamecheswrote a review Jul 2021,"We enjoyed very much our staying at the Valverde hotel. The accommodation, the breakfast and the amenities are exceptional and the room was very clean and was maintained so during our entire stay. What we appreciated the most, however, was the personnel. Every person we interacted with was very nice and welcoming and really dedicated to making the staying in the hotel very pleasant for the guests. We would be very happy to stay again at Valverde hotel next time we visit Lisbon.",Jul,2021,Jul 2021,2021-07-01,2021,4
Pestana Vila Lido,Sara P,10,Sara Pwrote a review Sep 2025,"Just returned from a week spent at this hotel and we were delighted with our choice having been to Madeira several times and each time trying a new hotel. The location of the hotel is superb and the access to the sea was a plus for us. The pool area and all the staff that work in and around there are fabulous. The rooms are kept at a high standard of cleanliness so again great staff. Breakfast - the hotel caters for all nationality’s and the choice is a plentiful. They work had replenishing items and I assume it is the manager that is constantly wiping down and cleaning up to ensure all holiday makers get the best experience. We did not encounter anyone that was not welcoming or accommodating - well done to all the staff! The room had everything we needed, we had a couple of small issues which were reported and rectified promptly and yes there was a bit of paint peeling off in the bathroom but that was minor. The ceiling fan was a great addition to complement the air conditioning. Areas around the hotel were well maintained, rubbish bins had lids on - fantastic! Check in and out was simple and prompt, absolutely nothing negative to say only positives. We plan to return next year as for us it was everything we were looking for in beautiful Madeira. Well done to everyone in the team that contributes to guest experience.",Sep,2025,Sep 2025,2025-09-01,2025,4
Pestana Vila Lido,jothra,5,jothrawrote a review Oct 2024,"Friendly and service-minded staff. The best rooms have a fantastic view of the sea and seaside. A good number of restaurants nearby, some quite high standard.The hotel does not quite live up to the five stars they claim. Some areas of improvement: Turndown service was often just chocolate delivery in the evening, breakfast was basic with long lines of people in front of only two coffee machines, several days of really cheap juice for breakfast, the sparkling wine offered for breakfast was also low quality, some days of missing replenishment of coffee in the room.Apart from this we enjoyed our stay and were also able to get an upgrade to one of the best rooms on the top floor. Great place to enjoy both sunrise and sunset!",Oct,2024,Oct 2024,2024-10-01,2024,4
Lisbon Destination Hostel,sky22jk,0,sky22jkwrote a review May 2016,"4 mix, it was too far to get toilet.but it was so comfortable and cozy.all staff are so cool and friendly also location of hostel is very good!I'll recommend my friends and If I have a chance I'll go there one more :)",May,2016,May 2016,2016-05-01,2016,4
Casas do Porto - Ribeira Apartments,lreppucci,5,lreppucciwrote a review Jul 2018,"We had a wonderful experience, the apartment was beautiful and comfortable with ac and kitchen. You can easily walk to the river and other tourist areas. The couple who run the apartment are very helpful, we were provided with a map and overview of the city upon arrival. They also made  multiple dinner reservations and arranged a cab to the train. Porto is a great city and this is a wonderful place to stay, excellent customer service!",Jul,2018,Jul 2018,2018-07-01,2018,5
Dona Filipa Hotel Vale Do Lobo,AngieBabes,163,AngieBabeswrote a review Sep 2014,"We have been going to the Dona Filipa for many years because it has a fantastic location near the beach and right next to the heart of Vale do Lobo i.e. the Praca with all of the restaurants and bars and kids activities. My daughter insists we stay here because it is so handy! If it wasn't for the location we wouldn't have stayed here because the hotel rooms are a bit \"worn\" as it is an old hotel. However, the hotel is in the process of being refurbished following a change of ownership. The reception area looks more modern and welcoming following refurbishment (be warned if you are planning to stay here any time soon as the refurbishment is still in progress so be prepared for noise). If you have kids and you want a great location near the Praca, to keep them occupied at night, then this is a good place to stay. I would perhaps wait until next Summer and you can see the fully refurbished article.",Sep,2014,Sep 2014,2014-09-01,2014,4
Grand Muthu Forte Do Vale,laura1961,99,laura1961wrote a review Jun 2016,"This was our 3rd stay here. The two previous stays were faultless.The good points are:Pleasant reception staff and clean attractive public areas inside the hotel.The apartments are large, very clean, great comfortable beds, good air con,free good wifi and well equipped with 2 large tv's, full size fridge freezer, dishwasher and washing machine.My husband had his birthday while on we were there and a bottle of sparkling wine was delivered to our room. Nice touch.However ............ 5star hotel and stag/hen parties do not go together!!!!Three large groups arrived during our stay and were noisy and untidy around the pool. This disturbed other guests.Also the pool area left a lot to be desired. For the first two days of our stay the pool and surrounding area were not cleaned , rubbishy blowing around where you sat. When cleaning did take place it was after guests were already around the pool in the morning , staff member hosing the dirt on the ground into the pool.There are only about 10 umbrellas around the pool area of which several are broken. Some of the remaining ones are dangerous as the base is too light and they blow over in the wind.Hotel needs to invest in pool area with new and more quality 5 star umbrellas and cleaning around the pool area needs to be vastly improved.Hotel is selling itself as 5 star, however currently only 3 star at best.They need to improve / change their policies as repeat customers will not be coming back and all they will be left with is their stag/hen parties.",Jun,2016,Jun 2016,2016-06-01,2016,3
Grand Muthu Forte Do Vale,Kai Ramsey,0,Kai Ramseywrote a review Aug 2024,"Dayana and Yariel were excellent, friendly and sing very well. They have to be famous. I'm sorry I won't be here for the next time they're singing more, yeah. I think they have to make more money because they have a lot of talent.",Aug,2024,Aug 2024,2024-08-01,2024,5
Four Seasons Fairways,hilaryfleming,5,hilaryflemingwrote a review Feb 2014,"Just returned from two weeks at four seasons fairways. We are owners there, look forward to our stay each year and never want to go home. We have been owners for 17years and have loved every minute. Our grandchildren used the fun club for the first time, Lydia is a darling, they looked forward to seeing her each day. Congratulations to the general manager Jorge and all his wonderful staff each and every one is a credit to you and your dedication to the resort. Thank you. Can't wait to go back again next year.",Feb,2014,Feb 2014,2014-02-01,2014,1
Luna Clube Oceano,JosieM76,1,JosieM76wrote a review Oct 2013,"Me and a friend are just back from a weeks stay here. We had paid for a studio apartment but when we opened the door to the room we were given discovered they had given us a 2 bedroom, 2 bathroom apartment! Perhaps it was quieter due to end of season and upgraded us, but we were delighted! Lovely place, staff extremely helpful, and the room was very clean, with maid service and clean towels etc every single day.Only a 5 minute walk to the beautiful beach, ten minute walk to the strip and a 15 minute walk to the old town, or you could hop on the little train to take you there for a couple of euro.All in all, I would recommend these apartments and I'd stay here again if I went back to Albufiera.And there was cutlery in the kitchen, just not where it should have been! We found it on day 2 under the sink underneath a dish towel!",Oct,2013,Oct 2013,2013-10-01,2013,5
PortoBay Liberdade,Satisoft,26,Satisoftwrote a review Dec 2017,We had a long weekend a the PortoBay and loved the hotel very much. The room was super and the bed particularly comfortable. The staff were extremely friendly and a lovely touch was finding a bottle of champagne in our room on our first evening. It was my husband's birthday but we hadn't told them that - they obviously picked it up from his passport on check-in. Great location too as we could walk to most of the sites from there. Really loved it.,Dec,2017,Dec 2017,2017-12-01,2017,5
PortoBay Liberdade,Elma Vous L,6,Elma Vous Lwrote a review Oct 2018,One of the Best hotels in Lisbon - really great for both business and pleasure. Easy access to all the exceiting places in Lisbon and a great rooftop to get a sundowner before going to sleep. Also a nice spa and pool area.,Oct,2018,Oct 2018,2018-10-01,2018,5
PortoBay Liberdade,Sonja G,19,Sonja Gwrote a review Jul 2019,"This hotel was booked for us as part of a ‘business’ trip for 2 nights. The staff were so friendly and helpful. Especially Catrina who was our favourite lady on reception. There were 5 of us and she remembered names, room numbers, she was amazing. Always smiling too. The rooftop top terrace was a great place for prosecco with friends. The sun was out but also lots of shade if you wanted it. So relaxing. The breakfast needs a mention. Everything you can think of on the buffet and all fresh and regularly topped up. Not a bad word to be said about this hotel. I would definitely recommend it any day.",Jul,2019,Jul 2019,2019-07-01,2019,5
"Reid's Palace, A Belmond Hotel, Madeira",FAB,128,FABwrote a review Nov 2023,"In a world ranking of hotel staff friendliness I am sure the Reids would end up in the top 5. Nice rooms, very quiet, outstanding pool area and top culinary experiences in Williams and Cipriani.They insist on a certain decent dress code which probably excludes 98% of the American cruise ship tourists.If you need help with making reservations in the old town  they were very helpful, the restaurants were very good and their prices reasonable",Nov,2023,Nov 2023,2023-11-01,2023,4
