hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Belmar Spa & Beach Resort,Sean987,12,Sean987wrote a review Sep 2013,"We were given the studio close to the snack bar on the first floor. It was basically a high traffic area with no privacy. We literally had people peering directly in the room at times. The guy that checked us in was very rigid and unsympathetic about the fact that we were unhappy with the location.  When we asked for a manager to try to find some resolution we were told she was not in.   When we checked back the next day we had the misfortune of dealing with Carla.  She advised us the manager was still not available.  When we asked whether breakfast was included in our room she replied, \"You don't know what you paid for?\"    She said she would have the manager call us.  There was no contact about our concerns.  On the third morning we finally found someone who brought her.  We were leaving and she did not seem moved by any of our concerns either.  I was just glad to leave as I felt it was very overpriced for the poor customer service they provided.Besides the poor staff they have poorly designed bathrooms with bad ventilation, sinks that spray on the user as they are used and water that takes a long time to get hot.They have \"electronic\" safes that only operate via a large key which you have to carry around.I would not recommend this hotel, even for half of the price they are charging.  Spend your money somewhere where they at least pretend to care about customer service.",Sep,2013,Sep 2013,2013-09-01,2013,1
Belmar Spa & Beach Resort,Vacation49661506017,0,Vacation49661506017wrote a review Aug 2023,Everything's good. Excellent 2 bedroom apartment. Clean and spacious. Hotel swimming pools and spa in excellent condition.This is the 3rd time we have used it as a family.The only drawback is Check Out until 10am. It's incomprehensible.,Aug,2023,Aug 2023,2023-08-01,2023,4
Jupiter Albufeira Hotel - Family & Fun,Stephen R,0,Stephen Rwrote a review Jul 2025,"No need to write much as the review by Will A from July 2025 is absolutely spot on!We (family of 4 - kids 12 and 9) preferred the quiet pool during the day and just walked down to the big pool when we fancied the slides etc. Don’t listen to the moaning reviews - it’s a good hotel and you’ll enjoy it!Having said this, we only paid £3200 for the family with on the beach. We noticed that jet2 and Tui prices were closer to £5K. I wouldn’t have been so happy if we’d paid top dollar, as I’ve stayed in much better places for that sort of money!!!",Jul,2025,Jul 2025,2025-07-01,2025,4
Tivoli Carvoeiro Algarve Resort,Elaine G,18,Elaine Gwrote a review Oct 2019,"Final day of the loveliest holiday at the Tivoli, my husband and I decided to come for the 2nd year as we had such an enjoyable stay last year. From our welcome on arrival (Madelina) we have been treated beautifully by all staff. Everyone works so hard to look after residents I can never understand any negative comments. So wish I knew all the names (Elini,Rodrigo,Goergio) you are all exceptional and thank you. For anyone thinking of staying you will not be disappointed it’s in the most amazing location it really does take your breath away.",Oct,2019,Oct 2019,2019-10-01,2019,5
Jupiter Albufeira Hotel - Family & Fun,clairegrainger2022,0,clairegrainger2022wrote a review Jul 2022,Fantastic holiday food in main restaurant needs to be a little hotter  but plenty of choice for everyone and pools bit chilli but this could be depending on the time of year you go definitely will return loved it and staff cleanliness are amazing 💖,Jul,2022,Jul 2022,2022-07-01,2022,5
Belmar Spa & Beach Resort,Jacquie M,32,Jacquie Mwrote a review Oct 2022,"Room was very clean and comfortable and the standard of housekeeping was high.  However we had paid extra to upgrade to a sea view which could only be seen by leaning over the balcony and not from the apartment.  The reception staff with a couple of exceptions weren’t particularly helpful or friendly.  The restaurant is ok, we ate there on a couple of occasions in the evening and the food was fine but again it’s not particularly welcoming.  Breakfast is more expensive than was advertised and there are additional supplements on most of the non buffet options.  The bar area is not particularly inviting.The resort is not on the beach and there are no hotel facilities on the beach.  The pools are nice but the adult pool is not easy to locate and the resort would benefit from better signage in general.  We had a big balcony which would have benefited from a couple of loungers or chairs to sunbathe in.  The bathrooms are nice but the shower fittings are poor and the only toiletries provided are soap dispensers.There are a couple of restaurants within walking distance but would recommend a car if you are staying here.This resort could be so much better with a bit more attention to detail and more welcoming staff",Oct,2022,Oct 2022,2022-10-01,2022,3
Belmar Spa & Beach Resort,Trish K,11,Trish Kwrote a review May 2017,"We stayed in a 3 bedroom apartment  room number A0N. (We were woken at approx 5am every morning as there is a piece of land behind the rooms on this side that have cockerals on which start every morning around this time,although we got used to the noise sleep was still disturbed from this early time, not exactly what you want on holiday!)This was a great size with lovely balconies and views of one of the outside pools and also the sea. The two bathrooms were great for families and all the beds were comfortable. However in general the whole apartment needed redecoration the majority of the walls were badly marked just making it look tatty for the price we paid.Also the indoor pool area wasn't always the cleanest and the showers did tend to smell. The inside pool was the spa area so whilst children were allowed in this area this was for swimming only and not playing, jumping in etc.The Belmar is about half an hours walk to the town center at a slow pace with children ( we walked every day with three children aged 15, 12 and 7 yrs, I don't think you need a car unless your not used to walking at home. There was also a couple of shops within about 20 mins walk. There was no onsite shop which would have been useful, however the bar did sell snacks and ice creams. We enjoyed the holiday but don't think the apartment would tempt us back.",May,2017,May 2017,2017-05-01,2017,3
Belmar Spa & Beach Resort,Christina1010,7,Christina1010wrote a review Oct 2012,"I’m in my late 20's and went there with my sister and parents, to take a holiday somewhere different and by the beach. This place was perfect for such a situation. We just wanted to relax and that’s exactly what we did. The apartment type rooms are gorgeous and just what we needed.W enjoyed preparing meals in the room after walking up the hill to the convenience store where delicious local produce can be bought. There are two restaurants on the beach – services does take forever and the food is nothing to write home about. If you don’t feel like preparing your own meals then the hotel restaurant is pretty good and well priced or go into town.Be aware of the local taxi drivers they take about 30mintues to arrive and then rip you off and take you the long way. To get into town it literally only takes a 5 min drive if they take you the proper way. Getting back to the hotel is easy as there is a taxi rank on the main street of town.If you are looking to party then this place is not for you – it is a place to relax and enjoy life.One tip for the hotel – I wish you would have provided pool service as I would have bought food and cocktails as I spent hours in the sun.",Oct,2012,Oct 2012,2012-10-01,2012,4
Grand Muthu Forte Do Vale,homework110,15,homework110wrote a review May 2024,"Very clean hotel. Accommodation is apartment style with kitchen and dining area.Swimming pool as usual suitable for polar bears. So cold.We were all inclusive . What a disappointment.Break was excellent. No complaints.Lunch: Starts at 12.30 and hot food will be hot. After1.00 all hot food will be cold.Dinner: Buffet style food after it is put out will remain for the duration. Cold soup, chips, meat etc. Every so often staff member appears and stirs the rice, soup with a spoon and disappears. Maybe casts a spell to reheat the food. Interesting technique>Alcoholic drinks are local and the wine available is also of a poor quality.This is not a 4 star hotel, maybe a low 3 star.Stay anywhere but here.",May,2024,May 2024,2024-05-01,2024,3
Grand Muthu Forte Do Vale,Bruna S,0,Bruna Swrote a review Jul 2025,"Yoandry, Dayana, and Rey were amazing with us and tried to include us in all the activities! They are pretty friendly and made us feel very good. They should continue like this in the coming years only I think they should do more diverse activities but I liked it a lot!",Jul,2025,Jul 2025,2025-07-01,2025,4
Dona Filipa Hotel Vale Do Lobo,peplis64,0,peplis64wrote a review Mar 2016,"Nice and clean rooms ( Newly renovated) great Food , fantastic breakfast buffet With omelettes and eggs of Your Choice, Nice location Close to the Beach With restaurants, bars and live Music. Friendly and serviceminded staff.",Mar,2016,Mar 2016,2016-03-01,2016,5
1908 Lisboa Hotel,G2019-60,0,G2019-60wrote a review Oct 2019,"Very nice hotel with beautifulroom, and wonderful and very helpful staff. Location was just perfect, close to everything, both historical places and central city. We just walked around and enjoyed this lovely city.",Oct,2019,Oct 2019,2019-10-01,2019,5
"Pine Cliffs Ocean Suites, A Luxury Collection Resort & Spa",MikSavage75,0,MikSavage75wrote a review Oct 2019,"We stayed at this property in Sept. It is beautiful. Food and beverage can be a bit pricy, but most rooms have a mini kitchen and there is a grocer across the street from the resort. Enjoy the luxury accommodations but byob",Oct,2019,Oct 2019,2019-10-01,2019,4
