hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Jupiter Albufeira Hotel - Family & Fun,D4357,2,D4357wrote a review Jul 2023,"Hotel was very clean and well maintained please thanks all staff, food was out of this world chefs deserve massive amount of praise for the food they produce. The only issue is the elevators 10 people called an elevator we all had to wait for the same one yet there is 5 elevators, so when someone calls an elevator 1 should come for each call not wait for the same one in which means someone or some people won't fit on then will have to wait to call another one to come so maybe sort that out, also the house keeping team twice my fiancee was in the shower and they knocked there was no answer this was at 630pm as there was no answer they let themselves in surely at 630pm you would think people are getting ready for dinner and this maybe why they are not answering yes its nice they giving chocolates out but they could leave them after cleaning the room instead of coming back and walking in on someone in the shower but other than that the hotel was fantastic and would definitely come back",Jul,2023,Jul 2023,2023-07-01,2023,4
Herdade Da Matinha,W A,5,W Awrote a review Jul 2013,"This place is amazing!  We were sorry we had only booked two nights at Matinha as the area has so much to offer and the hotel itself was so lovely.  It is a very quiet area of the Alentejo, but a nice break from the hectic Algarve.  Perhaps overpriced for the area but you could easily make this up with the breakfast that is included :)  Breakfast had pretty much anything you could wish for, including eggs made to order.  We asked for recommendations to grab lunch to the beach and the hotel packed us sandwiches which too were terrific.  And we ended up liking the place so much, we stayed in for dinner one night.  There are endless options for lounging around the property, depending upon whether you want privacy or a more social environment.  The staff all speak English (and many other languages).  Other than summer, this place seems like it would be very cozy, pleasant in the autumn.",Jul,2013,Jul 2013,2013-07-01,2013,5
Mayer Apartments,Patrice S,0,Patrice Swrote a review Oct 2016,"We stayed at this property and enjoyed 3 beautiful weeks in Portugal.  The location is perfect and the apartments are authentic, very clean and well maintained.Adrian and Jan are fantastic...friendly and very helpful. They made suggestions for excursions and then completed the bookings on our behalf.The pool is great and the bar area was a lovely place to have breakfast or lunch.  There are dozens of great restaurants to walk to and the beach is very picturesque with clear water and beautiful sandstone cliffs.We will look forward to returning.",Oct,2016,Oct 2016,2016-10-01,2016,5
Vila Gale Collection Braga,AMP2008London,130,AMP2008Londonwrote a review May 2022,"The building is full of character with stone walls and lovely courtyards in some areas.The location of the hotel is great for exploring Braga - nothing is too far except for the Bom Jesus do Monte which is a drive out of town anyway (or 45 min walk). The room we had was enormous, if a bit dark in decor, and was very quiet. The bed was very comfortable.The staff were all very pleasant. We were given a good recommendation for a meal in town, and when we pointed things running out/low at breakfast they sorted it quickly and found us to tell us they had been replenished.We felt it was over-priced.Considering the large size of the bedroom, the bathroom was small.Breakfast buffet OK but nothing stand out - e.g. jam selection poor, powdered scrambled egg, some of the fruit was tinned, not fresh.Wifi in the room was almost non-existent.It was a little dark in the room",May,2022,May 2022,2022-05-01,2022,3
Belmar Spa & Beach Resort,LoveTravel594689,0,LoveTravel594689wrote a review Oct 2022,"Very nice hotel and facilities, pools were huge and always empty so had them to ourselves the whole time. We were sadly let down when the first day we went out and bought drink and food for our fridge and realised it was broken, and we were without hot water for 2 days as the boiler broke. Saying this though the staff were extremely friendly and helpful in trying to resolve these issues, and offered us a different apartment and free dinner for the rest of the time we were there. Even though it was very frustrating it was nobody’s fault and we appreciated how the staff dealt with it. I would stay here again for sure. Great value for money, the beach is walking distance and such a nice beach. We used our free dinner voucher and got steak and chips which was very nice! One thing we didn’t appreciate was on the second day the restaurant manager was questioning us about the vouchers as if we were lying about them, he should have just checked with the hotel staff as we had explained to him the situation, however his questioning and tone felt like he was accusing us of trying to steal a free meal.",Oct,2022,Oct 2022,2022-10-01,2022,4
Belmar Spa & Beach Resort,cfmitchellumd,17,cfmitchellumdwrote a review Jul 2013,"Just came back from a 9 night stay at the Belmar Resort in Lagos, Portugal.  We had a 2 bedroom apartment with ample space and a beautiful view of the Atlantic Ocean.  We couldn't believe the size of our living space.  The rooftop terrace with lounge chairs, dining table, and view was spectacular.The entire resort was clean with 3 pools to choose from.  While the staff was very friendly and accommodating, I would say this was more of a hands off approach.  Felt as though this was an apartment we owned with a restaurant and spa on the property.  This is a good thing in my opinion.  The cleaners were excellent and came 2-3 times throughout our stay tidying up the apartment.  The restaurant was affordable and food was good.  I opted for a spa massage which I enjoyed.The resort was very comfortable, and there was always chairs available at the pool.  The pictures represented on trip advisor are accurate.  We were minutes from the local beach, as well as less than 5 minutes drive to some of the other beautiful beaches in Lagos.I would absolutely return to this resort, and think Lagos is a fantastic place to spend a holiday in the Algarve, but don't tell too many people.",Jul,2013,Jul 2013,2013-07-01,2013,4
Jupiter Albufeira Hotel - Family & Fun,anthonymcnair,0,anthonymcnairwrote a review Jul 2022,"This is the 2nd time we have stayed at the Jupiter Hotel and we thought it couldn't have got any better than the 1st, but I was gladly wrong. A few upgrades from our 1st visit in 2019 have improved an already fantastic experience. The animation team this year are truly amazing and they managed involvement from most of the adults also. If you are considering Albufeira then there is no other option than the Jupiter.",Jul,2022,Jul 2022,2022-07-01,2022,5
Jupiter Albufeira Hotel - Family & Fun,Graham B,0,Graham Bwrote a review Jun 2024,"Overall only good things to say about our stay, the rooms are big and modern, nice size bathroom and balcony, AC worked fine. WIFI excellent.Food choice was brilliant and good quality.Staff friendly and the whole place was spotless.Only negative for us were the lifts, we were on the 9 floor, great views but the lifts are too small for the hotel, a few times I decided to walk and still beat my partner and son to the top!Overall I would recommend it.",Jun,2024,Jun 2024,2024-06-01,2024,4
Grand Muthu Forte Do Vale,Rebecca,0,Rebeccawrote a review May 2025,"The dancing entertainment was great and the performers Yoandry, Nirma, Leyanna, Cinder as well as the choreographer and DJ Lauro, were amazing, we recommend it for a very fun night! They also brought us up to dance and it was lots of fun! Also the bartender Sumaila was brilliant every night and the hospitality was brilliant!",May,2025,May 2025,2025-05-01,2025,5
Valverde Lisboa Hotel & Garden - Relais & Châteaux,Gayle E,0,Gayle Ewrote a review Oct 2023,"I truly think Valverde was the most gracious hotel I’ve ever stayed in.  I traveled from Colorado, and met two of my goddaughters from France there.  The entire staff treated us as though we were the most important guests they’d ever had.  This was the first time to Lisbon for all three of us and the location couldn’t be more perfect for our short, three-day reunion.  And it just couldn’t be more comfortable and glamorous!The High Tea and Fado night in the courtyard were just a couple of the highlights.",Oct,2023,Oct 2023,2023-10-01,2023,5
