hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Artbeat Rooms,Dave and James,29,Dave and Jameswrote a review Jan 2020,Gosta on reception was brilliant. She kept in contact with me from the initial booking and met me at the property for check in. Very helpful and friendly. The location is right in the centre of Lisbon halfway between the Marina and Restauradores. The room is very comfortable and abstractly decorated which I loved. There tea and coffee available in the kitchen and the shared bathrooms are very clean. Highly recommended,Jan,2020,Jan 2020,2020-01-01,2020,5
Jupiter Albufeira Hotel - Family & Fun,Chris C,3,Chris Cwrote a review Apr 2023,Lovely hotel. Cleanliness excellent. Staff literally clean up spillages in restaurant as they happen. Wi-Fi best I’ve had in a hotel. Download and upload at 50mpbs and can even pick it up other side of pool.Staff so efficient and friendly. Bar service excellent. Drinks in hard plastic recyclable cups in pool area or glasses inside. Big range of all inclusive drinks. Beer is Super bock.Great food selection in all inclusive with themed nights. Be prepared to queue 10-15 mins in the evening for a table if don’t turn up early.Great selection of pools for adults and kids. Even a few water slides. Great swim up bar.There was no towel reserving. No need as plenty of sun loungers. Always got one even on first day turning up to pool at 2pm and we needed 5.Great views from roof top bar.Only negatives are water pressure (we were on top floor) and evening entertainment average. Maybe it’s better in the summer. But in bar area they sometimes have a dj or a singer which were really good.Definitely recommend.,Apr,2023,Apr 2023,2023-04-01,2023,5
Macarico Beach Hotel,Irene L,0,Irene Lwrote a review Aug 2018,"We were looking for a nice restaurant to have local food beyond francesinha and tosta mista (love them, but too much of a good thing...) when we found Bico Real, the restaurant of this wonderful hotel. We have had an amazing dinner, authentic, with local dishes with a twist and a wonderful atmosphere. And dead classy! Highly recommended even by our 13 year-old girl!!",Aug,2018,Aug 2018,2018-08-01,2018,5
Tivoli Carvoeiro Algarve Resort,Venture35193768647,0,Venture35193768647wrote a review Sep 2019,"Stayed here for 4 nights with 6 of my friends. Loved the hotel. I had red petals , balloons, and mini cake with a note from the hotel wishing me a happy birthday. The service was excellent , the staff were very helpful and friendly.  Lovely breakfast & lunch. The sea view was stunning, I enjoyed climbing up the cliff, took lovely pictures , beautiful view. Definitely coming back here.",Sep,2019,Sep 2019,2019-09-01,2019,5
Saccharum,sazzle15,0,sazzle15wrote a review Jun 2016,The hotel is about a half an hour drive from Funchal but the hotel has a daily bus (Mon-Fri) to and from the capital and it is possible to hire a car in Calheta for a reasonable price.  The hotel was gorgeous and the staff were very helpful.  Would definitely recommend it.,Jun,2016,Jun 2016,2016-06-01,2016,4
Jupiter Albufeira Hotel - Family & Fun,CH2708,16,CH2708wrote a review Jul 2024,"We spent a week at the Jupiter Albufeira with our 2 sons, 4 and 2 year old.We booked a private taxi service through Xclusiv4U which was so easy/convenient (highly recommended by the way).On arrival to the hotel, our room wasn’t ready so we went for an explore and our room was ready around 2:30pm. I emailed in advance for a quieter room and we were very pleased with it. We had a sofa bed & travel cot, the room was spacious and clean. The shower was very powerful - impressed! We were lucky to have 30°+ weather & the aircon worked very well.The main pool gets very busy but we enjoyed it there  most days. The AI drinks are ok…. Very small cups even for soft drinks! The lifts can be a right pain, especially as we had a double buggy. Sometimes we wanted 10/15mins to finally have an empty one arrive. The rooftop bar on floor 10 is really nice, could have spent hours up there 🌅The food is average, personally we thought there wasn’t much choice. We’ve stayed in another AI hotel in Portugal last year & we found the food much better. But you will manage to find something.We took a trip to Old Town with Uber (€6) for my husbands birthday/Portugal playing football. We really enjoyed it, worth a visit to mix things up. The atmosphere was great!Overall, we had a lovely week away in the sun. If the food improved it would make this hotel much better but you can’t have it all 😆",Jul,2024,Jul 2024,2024-07-01,2024,4
Jupiter Albufeira Hotel - Family & Fun,ikey1986,0,ikey1986wrote a review May 2023,"Staff and hotel was exceptional, our experience from day one was brilliant.Surroundings and bedrooms were spotless, highly will recommend this hotel.Our kids had great experience and enjoyed all the activities.",May,2023,May 2023,2023-05-01,2023,5
Jupiter Albufeira Hotel - Family & Fun,Bellatrixx2,51,Bellatrixx2wrote a review Aug 2020,"We recently stayed here on our first holiday with our 1 year old. Our stay was absolutely brilliant from start to finish! We had an early flight so arrived 3 hours before check in, but the hotel was able to get us straight into our room. The whole hotel is lovely and modern and our room was very spacious. We had tea and coffee facilities and a bottle of water left in the room on the first day. It was a shame that the tea and coffee do not get refilled, but I made do with taking some teabags up from breakfast.The food at the buffet is easily the best that we have had at an all inclusive resort! I particularly enjoyed the Portuguese and Moroccan themed nights. The pizza at the Italian was incredible as well! We were a bit worried, as 7pm is a bit late for our toddler to eat, but they have a snack bar open in the afternoon which serves chips, burgers etc, so that kept him going! We also really enjoyed the selection of drinks available on the all inclusive. The mojitos are delicious, and the beer and gin were lovely!You are spoilt for choice with the pools. The main pool is absolutely huge, and we loved the swim up bar! There are two children’s pools and two quieter pools tucked away round the side. There are also plenty of sun beds and parasols. As mentioned in other reviews, the pools were a bit on the cold side and our little one would shiver if we took him in during the morning or early afternoon. They seemed to warm up by mid-afternoon though!The staff were all absolutely fantastic! The restaurant staff would bring over extra napkins for our little one and were always happy to fill up his water beaker. Manuel in the a la carte deserves a special mention- he really couldn’t have done more to make our visit to the restaurant more special, even bringing our little one a plate of melon (his favourite food) despite it not being on the menu!We had such a fantastic stay and will definitely be back in the future!",Aug,2020,Aug 2020,2020-08-01,2020,5
Vila Gale Collection Braga,brazilgirl,148,brazilgirlwrote a review Apr 2019,"When we deove up in our taxi, my jaw droped. The setting and property itself is really incredible. And the location could not have been better. However, the hotel lacks in warmth and finesse. There are no special touches. The room was huge, the bed comfortable. But that was it. Bland decor, bland breakfast, boring bathroom.The staff was nice and the building truly amazing. But it could be so much more.",Apr,2019,Apr 2019,2019-04-01,2019,2
Valverde Lisboa Hotel & Garden - Relais & Châteaux,Soya B,120,Soya Bwrote a review Jun 2022,"We do not know where to start. This was one of our top experiences in Lisboa. A great welcome and attention to any allergies. A restaurant manager - young Portuguese - who spoke fluent English. The food was excellent, made with love. The wine recommendation were the right fit - we will defintely come back.",Jun,2022,Jun 2022,2022-06-01,2022,5
