hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Hotel Madeira,Lesley F,63,Lesley Fwrote a review Jan 2013,"Hotel was noisy, over New Year music plays outside till 4am most nights.  Requested a quiet room on booking but got one right at the front and when we requested a move they were really quite shirty.I found the beds very uncomfortable and the pillows were rock hard.  I would suggest you take your own if you have room.  I would have liked kettle in room, and breakfast, as many have mentioned, was super dull.  Madeira has lovely fresh fruit all year round and a lovely fruit salad wouldn't go amiss.On the plus side it's clean and central and a fair price but overall the cons outweighed the pros for me.",Jan,2013,Jan 2013,2013-01-01,2013,2
Saccharum,MikeGBSL,36,MikeGBSLwrote a review Feb 2016,"Very new hotel (opened April 2015) and everything is finished to a high standard.Staff were great - most were multilingual and very friendly and helpful.Hotel is targeted at adult visitors but have now added a family pool (being completed last week - Feb 2016) to cater for those with younger children. The rooms are very comfortable - others have commented about the smoked glass walls to the shower and WC - which do seem a bit strange at first.We stayed on a half board basis and the food was very good indeed. Breakfast offered fresh fruit, continental, yoghurts, cereals and bacon, eggs, etc. Also scrambled eggs or omelettes are cooked fresh on request. Dinner in the evening had two fish dishes, two meat and a vegetarian option, with vegetables, rices and noodles on different evenings. A very good selection of salads were available every night and a range of desserts and a cheese board were on offer.Two good bars on the 7th and 8th Floors with roof top terraces - well worth a visit (or several)The village is very quiet with a couple of local bars on the main road and three or four bar/restaurants down on the harbour front.There are two man-made beaches - one between the Calheta Beach hotel and the sea another other a little further away.The hotel runs a bus to Funchal and there are also local bus services for the more adventurous.There is a small supermarket near the harbour, with a travel agent who advertises tours of the island and other activities. Well worth a look - we went on a tour and had an excellent day out.",Feb,2016,Feb 2016,2016-02-01,2016,4
Jupiter Albufeira Hotel - Family & Fun,Sinead B,0,Sinead Bwrote a review Jul 2023,"Great family fun, good good and rooms are big and clean.Only let down was the lifts… they are not big enough for the amount of pushchairs and people and not all of them worked so at peak times you would wait a long time for the lift.",Jul,2023,Jul 2023,2023-07-01,2023,4
Tivoli Carvoeiro Algarve Resort,Helen L,40,Helen Lwrote a review Sep 2019,A beautiful setting in the cove - with peaceful views of watching ships and boats passingLovely food and staff who go the extra mile and remember you from previous visitsPeaceful surroundings with a we can do whatever fir youThe sos is a great relaxing addition too,Sep,2019,Sep 2019,2019-09-01,2019,5
Macarico Beach Hotel,Nick R,22,Nick Rwrote a review Oct 2015,"Nice boutique hotel, easily found with ample parking. Light bright room with picture window in the ensuite. Unusual roof top pool and spa with great views over the sea.Very ample breakfast buffet and extremely helpful staff wgen it came to planning the onward route.",Oct,2015,Oct 2015,2015-10-01,2015,4
Jupiter Albufeira Hotel - Family & Fun,Oli,0,Oliwrote a review Jun 2025,"Great family stay.Pros - The hotel is generally really clean with very attentive staff. In particular the children’s club/show team who really made an effort with the kids.Buffet food is normally pretty basic in resorts but it was brilliant here. If you can’t find something to eat here, you’re a picky eater.  Fresh pasta made to order, fresh pizza’s, themed nights all week and plenty of choice otherwise. Plus, 2 a la carte restaurants and a snack bar open all day.The pool area was clean and well looked after with a baby pool, kids pool with slides, main pool and 5 big slides for kids and adults.Rooms were clean and tidy and very quiet. We didn’t even hear any noise from other rooms for our whole stay! The best part was the cleaners didn’t do their rounds until 11am minimum so we weren’t getting woken up at the crack of dawn with them wanting to get in. Although we may have just got lucky with the timings…Cons -Checking in took a while (50 minutes) with 4-5 families in front of us which with 2 young kids after an hours transfer, was a bit annoying.Sun-beds. It usually wasn’t an issue getting a sun bed, as long as it was before 9am. If you waited until after, you’ve got no chance! A lot of reserved sun beds too with people not turning up for hours. One set near us had their towels on at 7:30am and didn’t use the beds until 4pm!Kids play area - Possibly a bit tired but fine for kids. However, the base is black rubber tiles and after 36 degree heat could only be described as molten lava! Needs a rethink for young toddlers and kids.There was a soft play for toddlers and babies but only in the kids club opening hours in the same room.  Personally I think there should be something available all day.The main issue by a mile, was the lifts. They simply don’t work. The buttons outside assign you a lift, if you get in the wrong lift god help you as the ones inside the lifts don’t work. Even in the right lift, one day we stopped on every floor from the 9th floor downwards.Queues on a few days were 10-15 minutes long to get prams up. Some opting to carry them up the stairs.If you’re on a middle floor, it’s even worse as they were always full going up and down. EVERYBODY had the same issue with the lifts and it was a massive talking point amongst the whole hotelAs a whole we had a really enjoyable stay and would stay here again in a heart beat. The kids loved it and the whole atmosphere is set up as a family hotel.",Jun,2025,Jun 2025,2025-06-01,2025,4
Saccharum,Lola R,0,Lola Rwrote a review Jun 2016,"A very chic hotel right by the water. It's set against a mountainous back drop and is modern and clean, but it is in a quiet area. The staff were helpful and polite, the beds were large and comformtbe and the  decor was perfect. It's a shame that the room service closes a little early at 10:30pm, however the hotel restaurant breakfast was great with a lot of options.It takes about 30 minutes by taxi to get to the centre of Funchal by car, and this hotel runs a shuttle in an air conditioned coach. It takes about 45 minutes to the airport. The infinity pool has stunning views of the ocean, and the spa has some great treatments.If you are looking for relaxed, calm, comfortable accommodation then this is the hotel for you. If you want something a little more lively, then I would choose somewhere a little less secluded and nearer to Funchal.",Jun,2016,Jun 2016,2016-06-01,2016,4
Jupiter Albufeira Hotel - Family & Fun,RMLiv,0,RMLivwrote a review Oct 2019,"The hotel was clean, room was spacious and beds were super comfortable. The food and drinks were very good but what made a lasting impression to us was - the staff were exceptionally friendly, helpful and efficient!",Oct,2019,Oct 2019,2019-10-01,2019,4
Hotel Madeira,AceNottingham,10,AceNottinghamwrote a review May 2016,"Hotel is in excellent location, nice area plenty of shops restaurants etc and 2 minutes walk from the promenade. Hotel itself is a delight, bright, airy and spotlessly clean. Reception staff were friendly and spoke good English. The roof top area / pool, although a little small . is  a nice area with a lovely view.",May,2016,May 2016,2016-05-01,2016,4
Casas do Porto - Ribeira Apartments,TTM,2,TTMwrote a review Aug 2014,"I've stayed in beautiful, clean and smal apartment. It was enough for the six of us. You had everything you need and the best part of de accommodation are the hosts Rui and Olivia. They sincerely doing anything they can to make our stay comfortable, helps us with anything we asked for. They are just a lovely couple to meet, i have never experience this before. There is seriously no better place to stay for that price and helpful lovely people.",Aug,2014,Aug 2014,2014-08-01,2014,5
Dona Filipa Hotel Vale Do Lobo,Stirlingtec,63,Stirlingtecwrote a review Sep 2018,"I have been coming to the Dona Filipa for years, the recent upgrade to the pool and restaurant area is very good, classy and user friendly. The slow demise of the old Classic rooms are an issue as the price differential for the upgraded rooms is steep. breakfast is still fantastic, bar is still expensive ! but all in all a great hotel.",Sep,2018,Sep 2018,2018-09-01,2018,4
Hotel Cristal Porto,stella f,0,stella fwrote a review Oct 2024,"You have stars left over.In the 21st century the room without Air Conditioning, it is hot, butoooo is not enabled, that is to say reception: sleep with the window open, first floor, facing a busy street.Really AMAZING.We'll never come back",Oct,2024,Oct 2024,2024-10-01,2024,2
Grand Muthu Forte Do Vale,Ellie S,51,Ellie Swrote a review May 2024,"Grand Muthu Forte do Vale is very clean and staff are very attentive and friendly. However, this hotel advertises a lot of amazing amenities and facilities. This may be the case in the peak months but my experience of this hotel in May has been very differentNone of the 14 restaurants they advertise are available and the only dining experience available is their “Flavours Restaurant” - all inclusive, I appreciate isn’t going to be a fine dining experience but the food here is recycled, dry, cold, tasteless. I am not a fussy eater at all but I had found some of the meals to be inedible. Out of 8 meals, the Asian themed night was the only edible food and I have been ill for 3 days since.The pool is a nice area and the hotel is located close to the old town and the strip and just a short walk from a few supermarkets which is really handy. One big downside to this hotel is not having outdoor seating in the evening, the only place to go is their Piccadilly bar which is one dark room indoors.The hotel was really nice if you don’t get food. Although still no where near a 5* as advertised. Not writing to complain to the hotel as seen in other reviews they “do not agree” with their paying customers.",May,2024,May 2024,2024-05-01,2024,3
Captain's Log House,katerina l,0,katerina lwrote a review Sep 2012,"very original design of rooms in the house. great idea to place the comics story in whole house. I love it. Great place to stay, clean rooms, great service. Garden super place for the rest. Ocean is really very near. The Captain Log House is  in the calm location. Thanks that I could stay. :)",Sep,2012,Sep 2012,2012-09-01,2012,5
Valverde Lisboa Hotel & Garden - Relais & Châteaux,BRYAN J,4,BRYAN Jwrote a review Jun 2023,Great location and excellent accommodations. Dinner and breakfast in the courtyard is a must. We always select Relais for our home away from home and it never disappoints. We lived the Valverde dream - so fun.,Jun,2023,Jun 2023,2023-06-01,2023,5
1908 Lisboa Hotel,Bosco082017,2,Bosco082017wrote a review Dec 2018,"We stayed in this hotel to remember a previously travel 25 years ago. Its modern reform in an old building is good. The staff, specially, André Pinto, friendly and nicely. The breakfast is at demand, depend your desires. There is a restaurant with modern cuisine and interesting dishes.",Dec,2018,Dec 2018,2018-12-01,2018,4
Chicks On Waves,SophieG,0,SophieGwrote a review Sep 2020,"Had a lovely stay at this gorgeous Villa. Staff were incredibly attentive, the property was clean and despite covid felt safe/at home since appropriate measures were taken.Would recommend renting a car but ubers are readily available.I stayed there as part of the \"Chicks on waves\" (see instagram) programme which was also a great experience!!Can't wait to stay again!Highly recommend.",Sep,2020,Sep 2020,2020-09-01,2020,5
Lisbon Destination Hostel,pikkumyy1984,1,pikkumyy1984wrote a review Jul 2013,"Amazing location, and lovely atmosphere in the hostel. I was staying in a single room, attending an academic conference so I wasn't in Lisbon to party! But all activities were stopped by 11pm and I was never disturbed by noise made by other guests, although there are plenty of things organised for a more sociable crowd. My room was hot, but Lisbon was experiencing an unexpected heatwave of 40°C! I had a fan in my room which I turned on full in order to sleep, which was fine. My room, and the common areas and bathrooms were spotlessly clean, I saw the bathroom being clearned several times during the day when I was there. Staff were very kind and helpful. On the day I checked out, they let me leave my suitcase and hostel towel in storage so I could visit the city, come back in the afternoon and shower, before heading to the airport. For 30 euro a night I consider this very good value.",Jul,2013,Jul 2013,2013-07-01,2013,5
Grand Muthu Forte Do Vale,John R,74,John Rwrote a review Sep 2016,"First stay at this Hotel, have been coming to Portugal for many years. Best Hotel we have stayed at in Portugal, but not UK 5 star, maybe 4 star. Has been mentioned before, the sofa bed? is the worst I have seen or slept in - ever. MGM towels of a high standard, but some of the other towels not even 2 star. Entertainment very missable, service at Bar bit of a let down, asked to play Pool and was directed to games room. Service everywhere else, especially Reception  excellent. Nice pool, but does need a reurb. Maid service a bit hit or miss. Would stay again, overall very good. Did not eat at hotel, don't think we missed much......",Sep,2016,Sep 2016,2016-09-01,2016,4
Lisbon Destination Hostel,markitiki,343,markitikiwrote a review May 2022,"The location cannot be beat: easy access to train/metro as well as 15-20 minute walking to anything you might want to check out. The hostel was clean, staff was friendly, and bedding was on par with hotels. They provide a lot of social opportunities and great advice. If you are ok with the hostel environment, I would 100% recommend!",May,2022,May 2022,2022-05-01,2022,5
